Value,Period,Reference Area,Industry Section,Measure Type,Unit
97.9,quarter/2012.0,North East,A_T,Indices 2016=100,Indices 2016=100
91.0,quarter/2012.0,North East,A,Indices 2016=100,Indices 2016=100
102.8,quarter/2012.0,North East,B_E,Indices 2016=100,Indices 2016=100
161.5,quarter/2012.0,North East,B,Indices 2016=100,Indices 2016=100
102.7,quarter/2012.0,North East,C,Indices 2016=100,Indices 2016=100
110.3,quarter/2012.0,North East,D,Indices 2016=100,Indices 2016=100
87.6,quarter/2012.0,North East,E,Indices 2016=100,Indices 2016=100
90.3,quarter/2012.0,North East,F,Indices 2016=100,Indices 2016=100
97.4,quarter/2012.0,North East,G_T,Indices 2016=100,Indices 2016=100
87.4,quarter/2012.0,North East,G,Indices 2016=100,Indices 2016=100
97.2,quarter/2012.0,North East,H,Indices 2016=100,Indices 2016=100
89.5,quarter/2012.0,North East,I,Indices 2016=100,Indices 2016=100
98.4,quarter/2012.0,North East,J,Indices 2016=100,Indices 2016=100
110.4,quarter/2012.0,North East,K,Indices 2016=100,Indices 2016=100
95.3,quarter/2012.0,North East,L,Indices 2016=100,Indices 2016=100
91.7,quarter/2012.0,North East,M,Indices 2016=100,Indices 2016=100
85.8,quarter/2012.0,North East,N,Indices 2016=100,Indices 2016=100
116.3,quarter/2012.0,North East,O,Indices 2016=100,Indices 2016=100
99.5,quarter/2012.0,North East,P,Indices 2016=100,Indices 2016=100
101.9,quarter/2012.0,North East,Q,Indices 2016=100,Indices 2016=100
103.5,quarter/2012.0,North East,R,Indices 2016=100,Indices 2016=100
91.1,quarter/2012.0,North East,S,Indices 2016=100,Indices 2016=100
56.2,quarter/2012.0,North East,T,Indices 2016=100,Indices 2016=100
97.4,quarter/2013.0,North East,A_T,Indices 2016=100,Indices 2016=100
87.2,quarter/2013.0,North East,A,Indices 2016=100,Indices 2016=100
100.2,quarter/2013.0,North East,B_E,Indices 2016=100,Indices 2016=100
204.2,quarter/2013.0,North East,B,Indices 2016=100,Indices 2016=100
98.5,quarter/2013.0,North East,C,Indices 2016=100,Indices 2016=100
106.1,quarter/2013.0,North East,D,Indices 2016=100,Indices 2016=100
92.0,quarter/2013.0,North East,E,Indices 2016=100,Indices 2016=100
88.1,quarter/2013.0,North East,F,Indices 2016=100,Indices 2016=100
97.6,quarter/2013.0,North East,G_T,Indices 2016=100,Indices 2016=100
91.5,quarter/2013.0,North East,G,Indices 2016=100,Indices 2016=100
99.0,quarter/2013.0,North East,H,Indices 2016=100,Indices 2016=100
86.2,quarter/2013.0,North East,I,Indices 2016=100,Indices 2016=100
95.7,quarter/2013.0,North East,J,Indices 2016=100,Indices 2016=100
104.3,quarter/2013.0,North East,K,Indices 2016=100,Indices 2016=100
95.2,quarter/2013.0,North East,L,Indices 2016=100,Indices 2016=100
92.9,quarter/2013.0,North East,M,Indices 2016=100,Indices 2016=100
85.2,quarter/2013.0,North East,N,Indices 2016=100,Indices 2016=100
116.2,quarter/2013.0,North East,O,Indices 2016=100,Indices 2016=100
98.3,quarter/2013.0,North East,P,Indices 2016=100,Indices 2016=100
104.0,quarter/2013.0,North East,Q,Indices 2016=100,Indices 2016=100
106.7,quarter/2013.0,North East,R,Indices 2016=100,Indices 2016=100
87.3,quarter/2013.0,North East,S,Indices 2016=100,Indices 2016=100
61.1,quarter/2013.0,North East,T,Indices 2016=100,Indices 2016=100
98.4,quarter/2014.0,North East,A_T,Indices 2016=100,Indices 2016=100
106.2,quarter/2014.0,North East,A,Indices 2016=100,Indices 2016=100
100.0,quarter/2014.0,North East,B_E,Indices 2016=100,Indices 2016=100
199.8,quarter/2014.0,North East,B,Indices 2016=100,Indices 2016=100
99.0,quarter/2014.0,North East,C,Indices 2016=100,Indices 2016=100
101.0,quarter/2014.0,North East,D,Indices 2016=100,Indices 2016=100
93.4,quarter/2014.0,North East,E,Indices 2016=100,Indices 2016=100
96.4,quarter/2014.0,North East,F,Indices 2016=100,Indices 2016=100
98.1,quarter/2014.0,North East,G_T,Indices 2016=100,Indices 2016=100
97.4,quarter/2014.0,North East,G,Indices 2016=100,Indices 2016=100
100.2,quarter/2014.0,North East,H,Indices 2016=100,Indices 2016=100
88.9,quarter/2014.0,North East,I,Indices 2016=100,Indices 2016=100
98.4,quarter/2014.0,North East,J,Indices 2016=100,Indices 2016=100
97.0,quarter/2014.0,North East,K,Indices 2016=100,Indices 2016=100
95.2,quarter/2014.0,North East,L,Indices 2016=100,Indices 2016=100
95.9,quarter/2014.0,North East,M,Indices 2016=100,Indices 2016=100
92.4,quarter/2014.0,North East,N,Indices 2016=100,Indices 2016=100
