Period,Country,Sector,Subsector,Flow,Value,Marker
year/2018,world,dcms-sectors-exc-tourism-and-civil-society,creative-industries,exports,35596.7335380464,
year/2018,world,dcms-sectors-exc-tourism-and-civil-society,cultural-sector,exports,8813.81972817447,
year/2018,world,dcms-sectors-exc-tourism-and-civil-society,digital-sector,exports,51413.3072606043,
year/2018,world,dcms-sectors-exc-tourism-and-civil-society,gambling,exports,0.0,suppressed
year/2018,world,dcms-sectors-exc-tourism-and-civil-society,sport,exports,3165.25188556277,
year/2018,world,dcms-sectors-exc-tourism-and-civil-society,telecoms,exports,5365.15762201559,
year/2018,world,dcms-sectors-exc-tourism-and-civil-society,dcms-sectors-exc-tourism-and-civil-society,exports,62567.6302689511,
year/2018,world,creative-industries,advertising-and-marketing,exports,4983.78775144581,
year/2018,world,creative-industries,architecture,exports,539.804057036935,
year/2018,world,creative-industries,crafts,exports,0.0,suppressed
year/2018,world,creative-industries,design-and-designer-fashion,exports,486.300449193021,
year/2018,world,creative-industries,film-tv-radio-and-photography,exports,7364.44361478844,
year/2018,world,creative-industries,it-software-and-computer-services,exports,18789.3571290543,
year/2018,world,creative-industries,publishing,exports,1990.66762314179,
year/2018,world,creative-industries,museums-galleries-and-libraries,exports,0.0,suppressed
year/2018,world,creative-industries,music-performing-and-visual-arts,exports,1422.69118072022,
year/2018,world,digital-sector,manufacturing-of-electronics-and-computers,exports,166.696739809953,
year/2018,world,digital-sector,wholesale-of-computers-and-electronics,exports,3413.06027501715,
year/2018,world,digital-sector,publishing-excluding-translation-and-interpretation-activities,exports,1827.92732121521,
year/2018,world,digital-sector,software-publishing,exports,926.655278510618,
year/2018,world,digital-sector,film-tv-video-radio-and-music,exports,8101.39054686113,
year/2018,world,digital-sector,telecommunications,exports,5365.15762201559,
year/2018,world,digital-sector,computer-programming-consultancy-and-related-activities,exports,24927.8999121981,
year/2018,world,digital-sector,information-service-activities,exports,6362.54928665377,
year/2018,world,digital-sector,repair-of-computers-and-communication-equipment,exports,321.970278322753,
year/2018,world,cultural-sector,arts,exports,629.130162887493,
year/2018,world,cultural-sector,film-tv-and-music,exports,8085.18043953305,
year/2018,world,cultural-sector,radio,exports,23.13010732808,
year/2018,world,cultural-sector,photography,exports,56.14487645771,
year/2018,world,cultural-sector,cultural-crafts,exports,0.0,suppressed
year/2018,world,cultural-sector,museums-and-galleries,exports,0.0,suppressed
year/2018,world,cultural-sector,library-and-archives,exports,17.6082,
year/2018,world,cultural-sector,cultural-education,exports,0.0,suppressed
year/2018,world,cultural-sector,operation-of-historical-sites-and-similar-visitor-attractions,exports,0.0,suppressed
year/2018,world,audio-visual,audio-visual,exports,10385.2827650138,
year/2018,world,all-uk-2018-pink-book-estimate,all-uk-2018-pink-book-estimate,exports,297419.0,
year/2018,europe,dcms-sectors-exc-tourism-and-civil-society,creative-industries,exports,18756.8109219237,
year/2018,europe,dcms-sectors-exc-tourism-and-civil-society,cultural-sector,exports,4996.46286393197,
year/2018,europe,dcms-sectors-exc-tourism-and-civil-society,digital-sector,exports,27363.7065624532,
year/2018,europe,dcms-sectors-exc-tourism-and-civil-society,gambling,exports,0.0,suppressed
year/2018,europe,dcms-sectors-exc-tourism-and-civil-society,sport,exports,1511.08758338986,
year/2018,europe,dcms-sectors-exc-tourism-and-civil-society,telecoms,exports,2458.63396193309,
year/2018,europe,dcms-sectors-exc-tourism-and-civil-society,dcms-sectors-exc-tourism-and-civil-society,exports,34684.2940828383,
