Geography,Period,CDID,BOP Services,Flow Directions,Measure Type,Value,Unit
K02000001,year/2018,MTN7,1+2,exports,GBP Total,5691.0,GBP (Million)
K02000001,year/2019,MTN7,1+2,exports,GBP Total,6434.0,GBP (Million)
K02000001,quarter/2018-Q2,MTN7,1+2,exports,GBP Total,1372.0,GBP (Million)
K02000001,quarter/2018-Q3,MTN7,1+2,exports,GBP Total,1467.0,GBP (Million)
K02000001,quarter/2018-Q4,MTN7,1+2,exports,GBP Total,1483.0,GBP (Million)
K02000001,quarter/2019-Q1,MTN7,1+2,exports,GBP Total,1602.0,GBP (Million)
K02000001,quarter/2019-Q2,MTN7,1+2,exports,GBP Total,1616.0,GBP (Million)
K02000001,quarter/2019-Q3,MTN7,1+2,exports,GBP Total,1622.0,GBP (Million)
K02000001,quarter/2019-Q4,MTN7,1+2,exports,GBP Total,1594.0,GBP (Million)
K02000001,quarter/2020-Q1,MTN7,1+2,exports,GBP Total,1478.0,GBP (Million)
K02000001,year/2018,FKOA,3,exports,GBP Total,29469.0,GBP (Million)
K02000001,year/2019,FKOA,3,exports,GBP Total,31249.0,GBP (Million)
K02000001,quarter/2018-Q2,FKOA,3,exports,GBP Total,7161.0,GBP (Million)
K02000001,quarter/2018-Q3,FKOA,3,exports,GBP Total,7366.0,GBP (Million)
K02000001,quarter/2018-Q4,FKOA,3,exports,GBP Total,7505.0,GBP (Million)
K02000001,quarter/2019-Q1,FKOA,3,exports,GBP Total,7868.0,GBP (Million)
K02000001,quarter/2019-Q2,FKOA,3,exports,GBP Total,7801.0,GBP (Million)
K02000001,quarter/2019-Q3,FKOA,3,exports,GBP Total,7545.0,GBP (Million)
K02000001,quarter/2019-Q4,FKOA,3,exports,GBP Total,8035.0,GBP (Million)
K02000001,quarter/2020-Q1,FKOA,3,exports,GBP Total,7133.0,GBP (Million)
K02000001,year/2018,FAPO,4,exports,GBP Total,36431.0,GBP (Million)
K02000001,year/2019,FAPO,4,exports,GBP Total,39515.0,GBP (Million)
K02000001,quarter/2018-Q2,FAPO,4,exports,GBP Total,8795.0,GBP (Million)
K02000001,quarter/2018-Q3,FAPO,4,exports,GBP Total,8677.0,GBP (Million)
K02000001,quarter/2018-Q4,FAPO,4,exports,GBP Total,9010.0,GBP (Million)
K02000001,quarter/2019-Q1,FAPO,4,exports,GBP Total,9002.0,GBP (Million)
K02000001,quarter/2019-Q2,FAPO,4,exports,GBP Total,9418.0,GBP (Million)
K02000001,quarter/2019-Q3,FAPO,4,exports,GBP Total,10335.0,GBP (Million)
K02000001,quarter/2019-Q4,FAPO,4,exports,GBP Total,10760.0,GBP (Million)
K02000001,quarter/2020-Q1,FAPO,4,exports,GBP Total,6377.0,GBP (Million)
K02000001,year/2018,FDSG,5,exports,GBP Total,2671.0,GBP (Million)
K02000001,year/2019,FDSG,5,exports,GBP Total,2920.0,GBP (Million)
K02000001,quarter/2018-Q2,FDSG,5,exports,GBP Total,592.0,GBP (Million)
K02000001,quarter/2018-Q3,FDSG,5,exports,GBP Total,659.0,GBP (Million)
K02000001,quarter/2018-Q4,FDSG,5,exports,GBP Total,727.0,GBP (Million)
K02000001,quarter/2019-Q1,FDSG,5,exports,GBP Total,681.0,GBP (Million)
K02000001,quarter/2019-Q2,FDSG,5,exports,GBP Total,766.0,GBP (Million)
K02000001,quarter/2019-Q3,FDSG,5,exports,GBP Total,729.0,GBP (Million)
K02000001,quarter/2019-Q4,FDSG,5,exports,GBP Total,744.0,GBP (Million)
K02000001,quarter/2020-Q1,FDSG,5,exports,GBP Total,699.0,GBP (Million)
K02000001,year/2018,FDTF,6,exports,GBP Total,19425.0,GBP (Million)
K02000001,year/2019,FDTF,6,exports,GBP Total,20153.0,GBP (Million)
K02000001,quarter/2018-Q2,FDTF,6,exports,GBP Total,4731.0,GBP (Million)
K02000001,quarter/2018-Q3,FDTF,6,exports,GBP Total,5073.0,GBP (Million)
K02000001,quarter/2018-Q4,FDTF,6,exports,GBP Total,4885.0,GBP (Million)
K02000001,quarter/2019-Q1,FDTF,6,exports,GBP Total,4957.0,GBP (Million)
K02000001,quarter/2019-Q2,FDTF,6,exports,GBP Total,5016.0,GBP (Million)
K02000001,quarter/2019-Q3,FDTF,6,exports,GBP Total,5043.0,GBP (Million)
K02000001,quarter/2019-Q4,FDTF,6,exports,GBP Total,5137.0,GBP (Million)
K02000001,quarter/2020-Q1,FDTF,6,exports,GBP Total,5108.0,GBP (Million)
K02000001,year/2018,FDYI,7,exports,GBP Total,63222.0,GBP (Million)
K02000001,year/2019,FDYI,7,exports,GBP Total,63297.0,GBP (Million)
K02000001,quarter/2018-Q2,FDYI,7,exports,GBP Total,16241.0,GBP (Million)
K02000001,quarter/2018-Q3,FDYI,7,exports,GBP Total,15672.0,GBP (Million)
